v_cmd w_cmd dt dx_body dy_body dtheta
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 -4.022899926636757696e-05 5.838153649473116352e-05 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -1.257740325009775246e-05 -1.662368679657092534e-05 -1.266665606864947335e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 2.888100764711028752e-05 -1.995248359713766453e-05 -1.674500964048419860e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 2.420200269514771391e-05 1.916836394340173534e-05 3.941166570911036615e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 7.147463238009189903e-06 -2.924635773138768966e-06 -3.999999999999559464e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.240000724792480469e-01 -3.985148381080912556e-05 7.646547354010607407e-06 3.999999999999559464e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.189999580383300781e-01 1.052712610528928940e-05 -2.951643927786433790e-05 -3.000000000001890044e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.210000514984130859e-01 2.851889010329812936e-05 2.058096358584784135e-05 1.999999999999779732e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.210000514984130859e-01 -2.181166484484435786e-05 -1.093670820553426079e-05 -1.285711852716531212e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.169998645782470703e-01 -2.402823504585936717e-05 4.616540870513661106e-06 2.285711852714200631e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 4.451917733229396204e-05 -3.558608015978460346e-06 -1.999999999999779732e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 -1.936514616987590785e-05 -1.965741188312739550e-05 1.266677262821147565e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 -4.793069283942095674e-05 -2.513753785751632745e-05 -2.666772628234781450e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 6.581343058589410365e-05 8.532749547956261645e-05 1.199999999839107545e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 -1.282826316463197918e-04 -7.876807886023405949e-05 -2.199999999836776965e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 1.556238738921355191e-04 7.841930034585830071e-05 3.058818579795286041e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -1.004722483703215523e-04 -9.172998670082533593e-05 -3.058818579795286041e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 4.898898955074477079e-05 4.833755775277596642e-05 1.866661368654654041e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -1.182196526905984009e-04 -8.056712149491497522e-05 -1.533354526213059899e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.239998340606689453e-01 1.680296949293101280e-04 1.392947284716110345e-04 4.051298666762903622e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 -1.218098918632763044e-04 -1.219494910654377647e-04 -4.384605509208938656e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 5.048743769459072183e-05 6.707236104383427187e-05 1.928560481010421768e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 -1.435194665726135447e-04 -1.037897078066979287e-04 -2.928560481012532080e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 1.424705036011786991e-04 1.001736412682921343e-04 5.999999999999339195e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 1.477568823907600517e-05 -3.249478373487608767e-05 -4.999999999997228883e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 1.253353244558988328e-05 3.956450870755807520e-05 5.999936421918761198e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -1.475664226264722465e-04 -5.426855622473652010e-05 4.000063578057933000e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 1.428969338237989902e-04 3.593576955343260926e-05 9.998807962796618654e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -9.664298939473313474e-05 -5.531722918069884531e-05 -9.998807962796618654e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 1.016202181796765480e-04 8.982564044369524341e-05 2.333328034973547460e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -6.742899231049322096e-05 -5.752447719168473332e-05 -2.866666666485606640e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.180000305175781250e-01 -2.857763156603210523e-05 -1.278282207430196138e-05 2.533338631511838912e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.219999790191650391e-01 1.383635206952687554e-05 -9.725941828671646336e-06 -1.999999999999779732e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 2.866322674166515018e-05 2.174431325378099489e-05 -9.999999999976694198e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -2.634205933592720985e-05 -1.990392015378320803e-05 2.733322737178411899e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 6.885454035604512122e-05 3.927673097740658301e-05 -2.333227371753565649e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -1.415508033220667428e-04 -8.396590846217653838e-07 7.499962745605159853e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 9.083676061017314791e-05 -3.823156735828170069e-05 -5.349989121876674858e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 -4.523178526745697718e-05 1.157986620858435798e-05 4.982354038420844233e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 1.649827575502162017e-04 5.955195322613809135e-05 -6.156955842406830470e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 -1.256097802258620503e-04 -8.001680608833655693e-06 3.615322142600518873e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.200001239776611328e-01 -7.133994592026359327e-06 3.482599728170086528e-06 -2.484474410779924369e-05
0.000000000000000000e+00 0.000000000000000000e+00 1.199998855590820312e-01 -7.134066940491325644e-06 3.482415565904301192e-06 -2.484469476193851278e-05
