time_s,x_m,y_m,orientation_rad,landmarks
11.111000061035156,0.7019072,1.8574811,-1.8757,"{13: 0, 12: 0, 11: 0, 10: 0, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
11.611000061035156,0.6958866,1.8308708,-1.6787,"{13: 3, 12: 0, 11: 0, 10: 0, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
12.111000061035156,0.6940041,1.8057811,-1.4848,"{13: 3, 12: 2, 11: 0, 10: 0, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
12.611000061035156,0.6975703,1.773551,-1.3903,"{13: 5, 12: 2, 11: 1, 10: 0, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
13.111000061035156,0.7065339,1.740942,-1.3401,"{13: 7, 12: 2, 11: 2, 10: 0, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
13.611000061035156,0.7158888,1.7059324,-1.3349,"{13: 4, 12: 2, 11: 3, 10: 1, 8: 0, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
14.111000061035156,0.7238282,1.6728023,-1.329,"{13: 5, 12: 0, 11: 3, 10: 1, 8: 1, 6: 0, 7: 0, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
14.611000061035156,0.7313388,1.6405058,-1.2775,"{13: 3, 12: 0, 11: 4, 10: 1, 8: 1, 6: 1, 7: 1, 14: 0, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
15.111000061035156,0.7403921,1.6155823,-1.0788,"{13: 1, 12: 0, 11: 6, 10: 1, 8: 2, 6: 1, 7: 1, 14: 1, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
15.611000061035156,0.7525219,1.5938981,-0.8825,"{13: 1, 12: 0, 11: 5, 10: 1, 8: 2, 6: 1, 7: 1, 14: 3, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
16.111000061035156,0.7734402,1.5722948,-0.7167,"{13: 0, 12: 0, 11: 6, 10: 1, 8: 1, 6: 1, 7: 1, 14: 5, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
16.611000061035156,0.7975578,1.5525047,-0.5811,"{13: 0, 12: 1, 11: 4, 10: 1, 8: 1, 6: 0, 7: 0, 14: 5, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
17.111000061035156,0.8250368,1.5360794,-0.4716,"{13: 0, 12: 1, 11: 1, 10: 1, 8: 0, 6: 0, 7: 0, 14: 6, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
17.611000061035156,0.857012,1.5206512,-0.3906,"{13: 0, 12: 1, 11: 2, 10: 0, 8: 0, 6: 0, 7: 0, 14: 5, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
18.111000061035156,0.8877752,1.5074785,-0.3929,"{13: 0, 12: 1, 11: 1, 10: 0, 8: 0, 6: 0, 7: 0, 14: 5, 15: 0, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
18.611000061035156,0.9209693,1.4959765,-0.2976,"{13: 0, 12: 0, 11: 1, 10: 0, 8: 0, 6: 0, 7: 0, 14: 5, 15: 1, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
19.111000061035156,0.951203,1.4869432,-0.1878,"{13: 0, 12: 0, 11: 1, 10: 0, 8: 0, 6: 0, 7: 0, 14: 3, 15: 1, 17: 0, 20: 0, 18: 0, 16: 0, 19: 0, 9: 0}"
